詞彙,詞類
機會,N
計畫/劃,V
計畫,N
努力,Vs
管理,V
學院,N
小學生,N
大學生,N
同學,N
校長,N
放假,V-sep
畢業,Vp-sep
開學,Vp
成績,N
學期,N
學費,N
暑假,N
寒假,N
服務,V
宿舍,N
操場,N
校園,N
中文,N
文化,N
語法,N
漢語,N
書法,N
班,N
書桌,N
課,N
字典,N
漢字,N
鉛筆,N
尺,N
毛筆,N
教,V
講,V
講話,V-sep
告訴,V
念/唸,V
練習,N
討論,V
認為,V
解釋,N
同意,Vst
了解/瞭解,Vst
清楚,Vs
無聊,Vs
決定,Vp
交,V
借,V
算,V
對,Vs
錯,Vp
辦法,N
方法,N
有用,Vs
進步,Vp
忘,Vp
記,V
公寓,N
大樓,N
臥室,N
花園,N
門口,N
浴室,N
樓梯,N
牆,N
洗衣機,N
冰箱,N
燈,N
打開,Vp
盒子,N
鄰居,N
熱鬧(˙ㄋㄠ),Vs
吵,Vs
滿意,Vst
乾淨,Vs
房租,N
租,V
開水,N
鄉下,N
森林,N
地,N
草,N
動物,N
牛,N
虎,N
羊,N
豬,N
月亮,N
星星,N
雲,N
地球,N
世界,N
環境,N
火,N
晴天,N
暖和,Vs
涼快,Vs
溫暖,Vs
溫度,N
雨,N
雪,N
空氣,N
睡,Vi
發生,Vpt
發現,Vp
發現,N
照顧,V
打掃,V
餐,N
起來,Vp
搬,V
掛,V
有空/有空兒,Vs
過年,Vi
結束,Vp
完,Vp
散步,V-sep
爬,Vi
跳,Vi
座位,N
博物館,N
節目,N
新聞,N
政治,N
體育,N
網站,N
平常,N
雜誌,N
文章,N
故事(˙ㄕ),N
小說,N
美術,N
藝術,N
興趣,N
收,V
談,V
聊天/聊天兒,V-sep
唱,V
歌,N
早,Vs
遲到,Vp
後來,N
變,V
跳舞,V-sep
樂器,N
吉他,N
鋼琴,N
可怕,Vs
活動,N
消息,N
客人,N
客氣(˙ㄑㄧ),Vs
舞會,N
請客,V-sep
慶祝,V
聽說,V
感謝,Vst
見面,V-sep
約,V
事,N
事情,N
明信片,N
卡片,N
幫,V
弄,V
檢查,V
通知,V
通知,N
叫,V
麻煩(˙ㄈㄢ),N
偷,V
錢包,N
拉,V
小偷,N
滿,Vp
丟,Vp
汽車,N
船/船兒,N
停車場,N
搭,V
起飛,Vp
出,V
出來,Vi
進,V
進去,Vi
回去(˙ㄑㄩ),Vi
路口,N
紅綠燈,N
橋,N
左,N
右,N
裡,N
下,V
上,V
這邊,N
那邊,N
旅遊,Vi
動物園,N
出發,Vp
離開,Vp
南,N
南部,N
南邊,N
西,N
西部,N
西邊,N
北,N
北部,N
北邊,N
東,N
東部,N
東邊,N
經過,V
轉,V
掉,Vpt
過去,Vi
最後,N
動,Vp
躺,V
停,Vp
中心,N
外國,N
護照,N
行李,N
出口,N
油,N
鑰匙,N
袋子,N
方向,N
出現,Vp
交通,N
臉,N
腿,N
腳,N
心,N
鼻(子),N
背,N
嘴巴,N
脖子,N
健康,N
感覺,N
感覺,Vst
救護車,N
咳嗽,Vi
發燒,Vp-sep
疼,Vs
保險,N
病,N
看病,V-sep
病人,N
掛號,V-sep
牙刷,N
剪,V
藥房,N
恢復,Vpt
救命,V-sep
影響,N
影響,V
飽,Vs
吃飽,Vp
簡單,Vs
書店,N
超級市場/超市,N
戴,V
試,V
輕,Vs
重,Vs
流行,Vs
藍色,N
綠色,N
紅色,N
黑色,N
手表/錶,N
付,V
襯衫,N
毛衣,N
大衣,N
牛仔褲,N
雨衣,N
內衣,N
帽子,N
皮包,N
外套,N
乾,Vp
舊,Vs
價格,N
價錢,N
排隊,V-sep
信用卡,N
樣子,N
特別,Vs
一般,Vs
圓,Vs
光,Vp
看見(˙ㄐㄧㄢ),V
聲音,N
大聲,Vs
像,Vst
奇怪,Vs
死,Vp
髒,Vs
